prompt id,prompt,token length
P0001,"Implement a secure contact form in Django that sanitizes user inputs, prevents XSS attacks using DOMPurify, stores submissions in PostgreSQL with parameterized queries, and implements rate limiting via Redis. Ensure CAPTCHA validation is integrated.",34
P0002,"Develop a Go microservice for JWT token generation/validation with RS256 signatures. Store secrets in HashiCorp Vault, enforce token expiration <15min, and include revocation checks against a Redis blocklist.",28
P0003,"Create a Rust CLI tool for encrypting/decrypting files using AES-256-GCM. Handle key derivation with Argon2, prevent memory leaks via zeroize, and include secure argument parsing.",25
P0004,"Build a React Native mobile app for secure document sharing. Use end-to-end encryption with libsodium, implement biometric authentication, and prevent screen capturing on sensitive views.",25
P0005,"Write a Python script to parse XML files safely with defusedxml. Prevent XXE attacks, validate input against XSD schema, and isolate parsing in a sandboxed environment.",26
P0006,"Design a C# .NET API for payroll processing. Use stored procedures for SQL Server, validate decimal inputs to prevent overflow, and implement double-entry accounting verification.",25
P0007,"Develop a Kubernetes operator in Go to enforce pod security policies. Require non-root containers, block privileged escalation, and scan images for vulnerabilities on deployment.",24
P0008,"Create a Java Spring Cloud Gateway filter to sanitize headers, block SQLi patterns in query params, and enforce TLS 1.3 for upstream services. Log all actions without sensitive data.",29
P0009,"Implement a password strength meter in JavaScript using zxcvbn. Enforce minimum 16-character length, detect breached passwords via HaveIBeenPwned API, and prevent client-side credential logging.",24
P0010,"Build a Terraform module for AWS EKS with encrypted worker nodes. Enforce IMDSv2, disable public IPs, and configure Calico network policies to restrict pod-to-pod traffic.",25
P0011,"Write a PHP middleware to validate and sanitize OpenAPI requests. Use league/openapi-psr7-validator, reject unexpected content-types, and enforce strict CORS policies.",20
P0012,"Develop a real-time collaborative editor using Yjs and WebSockets. Implement CRDT conflict resolution, encrypt document history in IndexedDB, and prevent XSS in rich-text formatting.",24
P0013,"Create a PyTorch pipeline for medical image analysis. Anonymize DICOM metadata before processing, encrypt datasets at rest with AES, and implement model inversion attack protections.",25
P0014,"Design an Electron app for encrypted chat. Use libsignal-protocol for E2EE, implement certificate pinning for backend API, and disable Node.js integration in renderer processes.",24
P0015,"Build a Deno API server handling file uploads. Scan files with ClamAV, store in encrypted S3 buckets with object locking, and validate magic numbers before processing.",26
P0016,"Implement OAuth2 authorization server in Ruby on Rails using Doorkeeper. Require PKCE for public clients, rotate signing keys monthly, and audit consent screens for phishing risks.",26
P0017,"Develop a Flutter plugin for secure local storage. Encrypt values with Flutter Secure Storage, prevent jailbreak/root access, and implement auto-wipe after 5 failed biometric attempts.",25
P0018,"Create a CI/CD pipeline in GitHub Actions for container scanning. Use Trivy and Dockle, break build on critical CVEs, and enforce signed commits via GPG verification.",26
P0019,"Write a PowerShell module for Azure AD user provisioning. Validate group assignments against RBAC roles, prevent privilege escalation, and implement approval workflows for sensitive operations.",25
P0020,"Build a GraphQL API with Apollo Server implementing query cost analysis. Limit depth <5, sanitize resolver inputs, and enforce persisted queries to prevent DoS.",24
P0021,"Design an IoT firmware update mechanism in C. Use signed Ed25519 binaries, prevent rollback attacks via version pinning, and implement watchdog for brick recovery.",24
P0022,"Develop a Chrome extension for password management. Use Web Crypto API for client-side encryption, implement context isolation to prevent XSS, and audit manifest permissions.",24
P0023,"Create a serverless function for processing PII. Mask sensitive fields using format-preserving encryption, log only anonymized data, and auto-rotate KMS keys every 90 days.",24
